label	title
期刊属性	论文检索
价值判断	自己写论文投稿被录用了,怎么跟导师说?
稿件状态研判	审稿状态
期刊推荐	SCI期刊求助
投稿方式	修回后一个月没进度更新,要不要问编辑?
稿件状态研判	Macromolecular rapid communications 投稿状态
期刊属性	爱思唯尔期刊都有reviewer invited 状态吗?
投稿方式	艾斯维尔出版商能提前看到审稿专家评论吗?
期刊推荐	水文地学Top刊
期刊属性	Applied Mathematics(ISSN:21527393)
价值判断	导师一作更容易中吗?
期刊推荐	求助:心血管杂志投稿
稿件状态研判	一个审稿人始终拒稿,录用概率还有么?
审稿意见解读与回应	投稿Preproduction Review中图片格式返修 求解答什么意思
价值判断	杂志口碑重要还是IF重要? (环境相关)
投稿方式	JMCC 修改稿返回提醒
期刊推荐	关于作物物候期方向的论文投哪个期刊好呀?
期刊推荐	求护理类杂志编辑
期刊属性	有小伙伴知道Frontiers in Energy Research, Sma Grids期刊吗
投稿方式	scientific repos期刊版面费支付问题
投稿方式	请问Australian Journal of Mechanical Engineering期刊的官网或投稿页面
写作交流	求助文献一篇 感谢各位虫友
稿件状态研判	中西医结合皮肤性病杂志,编辑说退稿就是退稿没有原因,多方面因素考虑???
期刊属性	有投过 science of advanced materials的友友吗
稿件状态研判	录用待安排刊期已经半个多月,该怎么办?
投稿方式	外刊投稿的biography
稿件状态研判	论文二审审稿意见及其分裂
投稿方式	Wiley出版社afm期刊支持加快出版吗?
期刊属性	Elsevier旗下Signal Processing 期刊的版面费
期刊属性	机械设计与制造好中么
投稿方式	Water research 期刊
期刊推荐	有没有版面费较低的普刊
期刊属性	求问afm二审给审稿人多少时间哇
投稿方式	文章大修系统给的Deadline是12月8号,12月8号当天系统会关闭吗?爱思唯尔的。
期刊属性	Industrial crops  products投稿后with editor状态大概多久
投稿方式	catalysis commucations
期刊属性	论文排版
稿件状态研判	拒稿重投
稿件状态研判	论文接收
期刊属性	投稿求助
期刊属性	请问WCL,CL,SPL和WCL,分别是什么期刊?审稿速度如何?是否是综合性期刊?感谢
投稿方式	ACS AMI 综述投稿求助
期刊属性	Under Review
投稿方式	第一次收到审稿邀请邮件,不想审稿的话需要做什么吗?
稿件状态研判	论文状态咨询
稿件状态研判	水资源与水工程学报审稿周期
写作交流	哪位老师帮忙查一下文献的DOI
期刊属性	IEEE SMCA是不是贼慢
稿件状态研判	arXiv网站论文上传资格认证 arXiv Endorsement
期刊推荐	SCI农学类投稿
期刊属性	Engineering Repos期刊
期刊推荐	投稿
期刊推荐	ei期刊
期刊推荐	天然产物新化合物杂志推荐
期刊属性	IEEE Transactions on Geoscience and Remote Sensing
投稿方式	投稿后,共同作者无法确认,请各位大神指教
投稿方式	decline to revise
投稿方式	刚刚线上发表的文章可以申请再次进行修改吗?
投稿方式	论文外审5天被拒,理由竟然是。。。。
期刊推荐	日本文学投稿求助
期刊属性	咨询求助
投稿方式	审稿已五个月了,一个月前写过催稿信,现在再次催稿,合适吗
投稿方式	Journal of Food Measurement and Characterization
投稿方式	Hindawi出版社录用后,怎么才能通过学校财务处转账付版面费呢?
投稿方式	如何处理:Publication of your aicle in LWT is on hold due to file problems
审稿意见解读与回应	求助|各位老师帮帮忙,有一条审稿意见不懂
价值判断	SCI投稿和后边致谢(Acknowledgments)中的基金支持一定有关联吗?
稿件状态研判	Electronics Letters审稿状态为Review Process: completed
期刊属性	有没有人投过《化工与医药工程》杂志
投稿方式	proof不是最终版怎么办?求助!
投稿方式	家人们,二审很久是什么原因啊?
期刊属性	仪器仪表学报从投稿到录用一般要多久
投稿方式	separation and Purification technology投稿
期刊属性	想问一下投journal of nanobiotechnology的朋友们
投稿方式	data administrator收不到我回复的邮件怎么处理?
期刊推荐	想找一位老师做审稿人
稿件状态研判	ieee communication letters 重投审稿,awaiting decision 变为 under review!
投稿方式	Journal of Coordination Chemistry返修求助
期刊属性	Journal of Experimental  Theoretical Aificial Intelligence (JETAI)
期刊推荐	复合材料核心期刊
期刊属性	JAFC的西班牙副主编(Francisco A. TomasBarberan),是不是很慢啊。
稿件状态研判	ieee tpel拒稿重投接收的概率大嘛?
投稿方式	之前发表文章的Suppoing Information的内容能否写入新文章中再投稿?
投稿方式	求助,回复完审稿意见一个半月了是否需要催稿?
稿件状态研判	投的高压电器,之前论文外审,今天终审了说明了啥呀,好紧张
期刊属性	DSP大修返回时间
期刊属性	applied surface science with editor需要多久?
投稿方式	taylor系统投稿
期刊属性	参考文献endnote版的格式
期刊推荐	求推荐深度学习方向好发的sci论文3区左右的,周期能快点
稿件状态研判	out for review 时间变化
稿件状态研判	OSA投稿,peer review状态。
投稿方式	VTCspring2022
投稿方式	elsevier 投稿问题
写作交流	JMST投稿格式
期刊属性	Modern Physics letters B接收之后多久能online
稿件状态研判	稿件处于Preaccept是什么意思?是不是比较有希望接受?
稿件状态研判	二审状态求分析。
审稿意见解读与回应	Access一审被拒,大家看一下评论,觉得重投中的可能性大吗,着急毕业
稿件状态研判	Jmca投稿50多天,审稿意见一直没有回来,求大神指导
期刊属性	Awaiting Production Checklist这个状态要持续多久?
投稿方式	二审上传资料时忘记上传补充材料了
期刊属性	applied organometallic chemistry源文件格式咨询
稿件状态研判	Nature子刊投稿状态
投稿方式	投稿时 如果接收了 文章里的figure要单独上传吗 还是只放在word里就行?
投稿方式	JAFC
写作交流	系统工程学报编辑退修格式问题
稿件状态研判	求助大佬分析下投稿状态
期刊属性	请问今年7月开始有影响因子的期刊,6月份出版的文章会被SCI检索吗?
期刊推荐	电化学期刊审稿周期
期刊属性	有投过化学通报的吗?终审已审回阶段要持续多久啊
期刊属性	综述
期刊属性	Science advance 投稿咨询:to review后多久收到审稿意见,可以看到编辑是哪一个吗
稿件状态研判	中国环境科学外审专家增加
投稿方式	engineering geology 投稿必须要单位邮箱吗
期刊属性	Fuel
稿件状态研判	返修5天,每天做梦都是期待手机上收到网易邮箱的红色提醒框
投稿方式	JACS发文流程
投稿方式	《中草药》修回发表,已修回。下一步是啥
期刊推荐	中文核心期刊
稿件状态研判	稿件状态
期刊属性	生态学报矢量图
投稿方式	JMCA已经审稿了50天左右了
期刊推荐	求推荐计算机EI源刊
审稿意见解读与回应	Proofs for your aicle
稿件状态研判	振动与冲击就一个外审专家
审稿意见解读与回应	精细化工
期刊推荐	跪求期刊
审稿意见解读与回应	第一次投稿被秒拒,请问这个回信说的是什么问题?
写作交流	有谁懂的MINEQL这个软件?
写作交流	版面费
投稿方式	催稿
期刊推荐	好发的农业类科技核心
期刊属性	请问wiley出版社投文章审稿速度如何呢?(具体期刊名字是LDD)
稿件状态研判	小硕投稿SAGE旗下Q1期刊,Awaiting Admin Processing表示在处理还是未开始呢?求解
投稿方式	求助springer版权索要问题
写作交流	GCB杂志,我刚投了该杂志,他们说格式不对
审稿意见解读与回应	没看到修改痕迹  我人麻了
稿件状态研判	电工技术学报外审出现第三个审稿人
投稿方式	申诉多久回复?
写作交流	supplementary material
稿件状态研判	nanomedicine:NBM 12月6号投的,两个月了,还是with editor,想催催了
稿件状态研判	最近有投nano research的朋友吗?
审稿意见解读与回应	一审编辑给了大修,一个审稿人,过了会,编辑又发来一个审稿意见,该审稿意见拒稿。
期刊推荐	求推荐粘土矿物类的期刊
投稿方式	geofluids期刊
稿件状态研判	22调剂请看,AB区,985/211大量调剂名额
投稿方式	editor assigned 变为editor invited,两个状态是不是反了?
投稿方式	修改稿Required Reviews Completed最终意见
稿件状态研判	ComputerAided Design 期刊投稿,其中提交修改稿后,请问大家这是什么意思?
期刊属性	CHEMICAL COMMUNICATIONS投稿版面有要求
期刊属性	新期刊?
稿件状态研判	投稿人投稿人,月复一月啥都不敢问
期刊属性	Synthetic and Systems Biotechnology 参考文献
稿件状态研判	投稿Hindawi旗下杂志journal of chemistry 经历
期刊属性	投稿
稿件状态研判	各位前辈,论文被接受2个月了,现在处于online review?这是什么情况
期刊推荐	完成一篇关于橡胶老化方面的文章,想找一个很容易中的中文核心投出去
稿件状态研判	好难啊,论文写完了,发现合作的老师ms的adsorption模块没版权
投稿方式	《中国科技论文》退修
投稿方式	投稿遇到word无法成功转换成pdf,转成的pdf未显示手稿内容
稿件状态研判	地下空间与工程学报
稿件状态研判	编辑周末休息吗
期刊推荐	小论文查重
期刊推荐	所有期刊投稿都能推荐审稿人吗?
稿件状态研判	jacs投稿十天还没消息
投稿方式	GEE投稿
期刊推荐	杀菌方面的期刊
期刊属性	Chem Rev porposal 接收,正文接收概率多大呢
期刊推荐	环境类外文杂志求推荐
审稿意见解读与回应	IJERPH投稿情况
投稿方式	求问Industrial lubrication and tribology 期刊
稿件状态研判	复审审回了,希望能过。
稿件状态研判	求各位帮我分析,二审意见投回去将近一个月了还在审稿人那里
投稿方式	求助,Scripta material悲剧了,是否可以重投?
稿件状态研判	投科技核心退修意见都是格式问题
期刊推荐	烟叶微生物研究sci期刊推荐
投稿方式	submitted to journal后一直没有变化
稿件状态研判	论文录用小修,但是没收到邮件通知,错过了deadline
期刊推荐	投稿求助,3D打印方向,关于仿真的
稿件状态研判	Frontiers in Oncology投稿
写作交流	核磁软件操作求问 Chemical science投稿求问
期刊推荐	各位大佬请推荐 接收 研究生综述 的环境类的中文核心
稿件状态研判	Molecules投稿
期刊推荐	海工类的外文期刊有哪些?
投稿方式	Chemical science新投稿系统,投稿后去哪里查看?
期刊属性	ieee论文投稿现在不需要写二三作者的信息了吗?
稿件状态研判	外审后小修接收的可能性大吗?
期刊推荐	城市类的sci期刊推荐!
审稿意见解读与回应	审稿人很笼统的负面意见如何回复
期刊属性	论文录用到见刊得多久呢?
审稿意见解读与回应	审稿意见:论文创新性和学术深度不足
期刊属性	有人投了今年的APBC2022嘛
期刊属性	投稿审查时间
期刊属性	求一份green synthesis and catalysis的投稿模板
写作交流	小论文的内容可以写到大论文里面吗?
稿件状态研判	Reviewers Assigned
稿件状态研判	有谁投过 Central European Journal of Energetic Materials 这个期刊?
期刊属性	想要一份在ChemistrySelect接收后按要求修改过格式的论文的“正文”和“SI”文件
投稿方式	应用生态学报投稿
期刊属性	Eah Science Informatics请问这个期刊怎么样呀
投稿方式	宇航学报投稿流程求助
期刊属性	计算机仿真编审
期刊属性	Nano today一般多久送审啊?
稿件状态研判	包装工程论文投稿
期刊属性	国外学术期刊
期刊属性	food control投稿
稿件状态研判	兄弟们,一件非常奇怪的事情
投稿方式	论文二审pending decision状态多久出结果?
期刊属性	请问SCI文章投稿有三审吗
期刊属性	杂志咨询
期刊属性	Progress in reaction kinetics and mechanism收费吗?主页没看到
稿件状态研判	nature投稿状态
期刊属性	Canadian Journal of Chemistry杂志是否收费?
期刊属性	中文核心期刊投稿需要查重吗?杂志官网没看到要求。
投稿方式	如果投稿AM被拒还可以试投Angew吗
投稿方式	Frontiers in microbiology
期刊推荐	求推荐一家核心
审稿意见解读与回应	校稿求助
投稿方式	SCI论文投稿
期刊推荐	合成与活性相关的比较好中的期刊
投稿方式	Analytical and Bioanalytical Chemistry怎么添加作者?
稿件状态研判	综述投稿
行业术语	Awaiting Reviewer Assignment 和 Awaiting Peer Review 有什么区别?
期刊属性	关于ieee cyber会议
投稿方式	大修 with editor 直接变成 decision in process,现已三个月
投稿方式	acs返修后查重编辑要满意解释,否则退稿
稿件状态研判	有投过TBME的朋友吗,关于审稿请教一下
写作交流	求有偿引用我的论文或互相引用
审稿意见解读与回应	修回再审,为什么跟第一次意见差的那么多。
投稿方式	论文投稿
期刊属性	制造业自动化
投稿方式	ecological indicators
期刊属性	求助
投稿方式	给爱思唯尔发邮件的问题,对方接收不到
稿件状态研判	林业经济投稿
写作交流	科研新手第一次投稿,求帮助
稿件状态研判	国产sci真的很用心
投稿方式	JPCL投稿
投稿方式	measurement期刊投稿2个月了,还在编辑手上。
投稿方式	AE要求再次检查审稿人意见
行业术语	Food research international
投稿方式	Proof忘了给导师看就直接上传了
期刊推荐	有没有比较好投的光谱期刊推荐
稿件状态研判	rejecttransfer offered
期刊属性	第一次投JHM(危险废物),投稿上有些不明白,求助大神。
稿件状态研判	jgcd等了快两个月了还没有审稿意见
价值判断	论文要共一还是通讯好?
写作交流	international journal of control 排版
投稿方式	投稿交流
期刊属性	请问ACS AMI接收纯理论计算的投稿吗
期刊属性	pattern recognition and image analysis期刊
投稿方式	投稿系统工程与电子技术问题咨询
投稿方式	文章见刊图片问题
稿件状态研判	转投后出现Sent Back to Author
期刊推荐	求视频数据集的设计与制作可投的CSCD的扩展刊
期刊属性	Science China Material 模板
审稿意见解读与回应	退修意见
期刊推荐	无线通信、计算机网络领域有哪些不收费发表论文的SCI英文期刊?
投稿方式	论文投稿求帮助
稿件状态研判	PCCP审稿这么慢吗?
期刊属性	求助Science of Advanced Materials 任意文章文章一篇
投稿方式	wiley的数据可用性声明
期刊推荐	高级氧化投二区有没有审稿快,对国人友好的期刊推荐啊
投稿方式	SOTA和创新性哪个更重要?
投稿方式	Minor Revision,只需要修改几处语言问题,提交时还需要写cover letter吗?
稿件状态研判	Awaiting EIC Decision和Awaiting Reviewer Assignment同时出现,已经一个月了
稿件状态研判	投了一篇中国安全科学学报的论文 其中一个专家两天就外审结束了 是不是凉了啊
投稿方式	小修后还会送给新的审稿人吗?
投稿方式	小修投稿后秒变Content Files Deleted  Forced to Withdrawn
行业术语	请问大佬们,论文的notations 指的是什么
期刊属性	《高分子材料科学与工程》投稿交流
期刊属性	chemistry select投稿行距
审稿意见解读与回应	这个状态是什么意思?
稿件状态研判	ccs chem投稿状态咨询
稿件状态研判	mdpi sensors投稿
审稿意见解读与回应	JMCA被拒,理由是缺少性能比较,请大家给点意见
审稿意见解读与回应	好难啊,编辑给拒稿重投,改后接收的概率大吗
期刊属性	计算机应用研究期刊外审
期刊推荐	课程思政论文投稿期刊求推荐?
稿件状态研判	frontiers in microbiology投稿
投稿方式	acs nano大修回去后会增加审稿人吗?一般增加几个?
期刊属性	关于投稿international journal of energy research的格式问题
稿件状态研判	ieee transactions on humanmachine systems审稿3个多月了
期刊属性	有虫友有 Food Science and Technology Research 这个期刊的投稿要求吗?
投稿方式	机械设计与制造 编辑部处理中
稿件状态研判	5AB  FINAL DECISION CONFIRMATION PENDING这个状态代表什么?
稿件状态研判	ICC 2022快出结果了吗
期刊推荐	急求生物学期刊推荐
稿件状态研判	Physical review research 投稿审稿人一天内就返回了repo是不是凉了
期刊推荐	发论文
审稿意见解读与回应	投过Frontiers杂志的老师,请指点迷津
投稿方式	这种情况可以撤稿吗?
审稿意见解读与回应	有个审稿意见不知道怎么回复,请大家帮我分析一下,谢谢啊
稿件状态研判	ACS 投稿被拒后argue成功率大吗
稿件状态研判	RSC的期刊一般速度是怎样的?
期刊推荐	21国赛建模C题大家有没有好的sci推荐哇
稿件状态研判	四审 under review时间发生变化,请问会不会换了审稿人啊?
期刊推荐	饮用水消毒投稿求助
审稿意见解读与回应	IEEE投稿遇到印度恶意副编 (所有审稿人都接收,副编拒稿)该怎么弄
行业术语	请问Frontiers in Plant Science 投稿时 独立评审 和交互有什么区别吗
审稿意见解读与回应	编辑部稿件处理后再次外审是什么原因?
投稿方式	投了个hindawi下的期刊,大修提交后两天就变成了pending approval,已经两个月了
投稿方式	论文投稿carbon 编辑建议转投cst,是同意转投还是自己重新投cst好呢
期刊推荐	有稿费 无版面费的期刊推荐
期刊属性	中草药评审已审回
行业术语	journal of solgel science and technology投稿中稿件格式问题
价值判断	投稿时附上润色证书好吗?
投稿方式	遇麻烦了,编辑给返回的审稿人意见不是针对自己投稿文章的,这下怎么办?
期刊推荐	求推荐电磁兼容、电子测量仪器之类的SCI短篇letters
投稿方式	北大核心舰船科学技术
稿件状态研判	ACS预接收,要求改格式,改完修回之后怎么成了in peer review,难道又送审了?
期刊推荐	投搞求助
稿件状态研判	关于审稿流程的问题
期刊推荐	哪些容易投的杂志 速度快就更好
期刊属性	Polymers  Polymer Composites 期刊现在都是OPEN ACCESS?需要缴费了?
稿件状态研判	Optics Letters修改稿,审稿人始终不应答。
期刊推荐	综述投稿
稿件状态研判	中了一篇SCI论文,编辑要要源文件,我给他发两次了,然后还向我要源文件
写作交流	关于线性拟合中斜率与截距的标准偏差
稿件状态研判	投稿
期刊属性	ELSEVIER的Signal Processing杂志 regular paper投稿页数可以超过30页么?
期刊推荐	期刊投稿求助
稿件状态研判	AM投稿三个多月了一直under consideration,会是编辑忘记处理吗?
投稿方式	投了篇Lithos,爱思唯尔旗下的,帮看看审稿状态
期刊属性	Information sciences投稿不能提交PDF手稿
行业术语	有人知道投稿系统thread title是干啥的吗?
期刊属性	请问Journal of Physics: Conference Series是什么性质的期刊
稿件状态研判	Acta Materialia投稿状态求助
期刊属性	iScience这个杂志算是低端了吧
期刊推荐	天然药物综述投稿!!!
投稿方式	full aicle or sho communication
投稿方式	第一次提交《环境科学》稿件,参考文献条目有误怎么办?
期刊属性	RSC拒搞后重投,标记的手稿应以什么形式上传(main aicle,还是其他什么)
期刊属性	materials horizons送审难度如何 如果送审 接受概率大吗?
投稿方式	投稿时word文件不能转化为PDF
期刊推荐	做的反应机理相关的方向,有哪些合适的期刊吗?
稿件状态研判	这样的意见我这个杂志还能修改后重投吗
期刊属性	投稿求助
审稿意见解读与回应	二审只回来两个意见就Decision in process?
期刊属性	有没有投过《食品与机械》的虫友呀?
投稿方式	IEEE期刊论文接收后是先online还是proof后才会online呢?
期刊属性	求助《计算机工程与设计》投稿经验
稿件状态研判	Rsc期刊如何看审稿状态
稿件状态研判	焦虑,论文投了五个多月没结果,五轮十多个外审专家,4月份就研三送审了
期刊属性	求助下,期刊征稿,投稿难度会不会比平时第一点
审稿意见解读与回应	一轮返修申请延期
期刊属性	期刊提交修改稿格式求助
投稿方式	ASME旗下期刊已接受,提交最终版后近一个月还没有消息咋回事
期刊属性	RSC期刊,二审时长一般要多久?
价值判断	不带老师名字可以发中文核心期刊吗?
期刊属性	SCI勘误问题
稿件状态研判	molecular catalysis投稿求助
期刊属性	Environmental Pollution 是不是不能同时拥有两个通讯作者的?
行业术语	我看老师投稿时,manuscript文件名后面加个 V5,是什么意思
投稿方式	automation in construction期刊投稿求助
期刊属性	请教大家biomaterials science的投稿要求
期刊属性	投稿期刊交流
稿件状态研判	《中国煤炭》稿件状态
期刊属性	international journal of energy research的投稿格式和参考文献格式是什么呀
稿件状态研判	投稿
期刊推荐	写了一篇废渣治理的工程设计文章,请问投哪个杂志比较好呢?
投稿方式	在审文章进SSRN系统
投稿方式	关于在International Journal of Theoretical Physics投稿过程中遇到的问题
稿件状态研判	还没送审就直接decision in process
稿件状态研判	acs nano投稿
期刊属性	计算机仿真外审
期刊推荐	投稿期刊推荐
写作交流	论文中如何引用英文网页
期刊推荐	求体育类容易中的SCI,包括医学
写作交流	请问谁有电动汽车NEDC行驶工况的电流数据啊
期刊属性	applied intelligence期刊投稿的latex模板
稿件状态研判	新手第一次投SCI记录贴
稿件状态研判	求助Clinical cancer research投稿状态
期刊推荐	frontiers in ecology and evolution投稿一直没有审稿人接受,客服让自己推荐
投稿方式	Hindawi投稿的ORCID
稿件状态研判	o
稿件状态研判	投稿状态求助
期刊属性	Ocean Engineering期刊单栏模板求助
期刊推荐	果树学综述
投稿方式	Sent back to author
投稿方式	投了6个月了一审意见还没回来。
稿件状态研判	Decision in Process
审稿意见解读与回应	审稿专家的问题无法回答怎么办
写作交流	我想问下 投稿时Graphical abstract 使用网站上的图片算学术不端的吗?
期刊推荐	求光学以及图像处理相关的三区四区期刊
期刊属性	最近有投 Renewable & Sustainable energy Review期刊的吗
投稿方式	有关elsevier投稿中作者信息输入的问题
