	0	1
12	硅酸盐通报投稿求助	小弟投了一篇硅酸盐通报,目前显示终审已经结束,后面又出了个编辑审理,这是什么情况?请问各位有投稿经验的说一下,这是通过终审了还是没通过啊?
13	应用生态学报编委审稿	应用生态学报编委审稿已完成12天了,还没有给意见,有人遇到过这种情况嘛?求顺利呀,再退心态就崩了...
14	revision里没有修改后的论文内容,只有我的回复意见怎么办	各位师兄师姐大家好。我近日在WorldScientific下面的一个期刊MPLA提交了一篇论文的修改稿。我上传的时候按提示上传了修改后的论文word稿件和回复审稿人意见的word文档,生成PDF确认后就提交了。点击viewsubmission发现PDF里面只有我的回复意见word文档,修改后的论文稿件内容没有了,revision里面只有一个MPLAXXXXDR1的文件。我给编辑发送邮件也没有得到回复;请问各位朋友有遇到这种情况吗?我是不是已经凉了
15	请问《数学的实践与认识》还是不是最新版(2021)北大核心期刊?	请问《数学的实践与认识》还是不是最新版(2021)北大核心期刊?
16	投稿APPLIED INTELLIGENCE,两个月了一值under review状态,焦虑	第一次投稿SCI,看到le~t~p~u~b上评论都说这个期刊看,就投了,现在有2个问题很困扰,期望投递过这个期刊的小伙伴指导一下:1.别人评论中,都有编辑预审,我的论文状态,投递后,直接分配审稿人,变成underreview,没有编辑预审状态2.都说期刊很快,我在underreview状态都停留了2个月了,正常吗?
17	Systematic Reviews ISSN: 20464053 投稿求助	关于SystematicReviewsISSN:20464053这个期刊,有经验的大佬可以分享一下吗感恩关于审稿时间,难度,感谢周期很长吗:Speed110daystofirstdecisionforreviewedmanuscriptsonly89daystofirstdecisionforallmanuscripts196daysfromsubmissiontoacceptance24daysfromacceptancetopublication谢谢大佬
18	紧急求助,中了一篇nanotechnology,让我转投IOP旗下新刊nano future	紧急求助,中了一篇nanotechnology,但是编辑觉得质量较高,让我转投IOP旗下新刊nanofuture。nanofuture实在是不太了解,不知道如何抉择,希望各位虫友给点建议。利弊分析一下!!!!!!!!!!!!!!N9JF3%7_W(%G.png
19	请问大家 Initial assessment 需要多久啊一般	RSC旗下的一个国产期刊,Initialassessment都一周了,还没到编辑手里,不知道该怎么办了,期刊年出版实在太少,有点后悔了
20	AFM一审被拒,申诉概率多大	AFM一审被拒,申诉概率多大
21	sci一个四区的期刊 编辑一直让我提供 更多审稿人,没有呀	感觉找不到审稿人,一般怎么办
22	Journal of Non Crystalline Solids的Confirmation of Authorship在哪下载	想投这个杂志,可是在Guideofauthor里没找到confirmationofauthor模板的下载地址,谁能告诉我在哪下载,最好直接发我word版本。感谢!
23	投稿至今没有消息	TheAnnalsofAppliedStatistics期刊审稿周期一般多久呀?目前1个多月了,没有任何消息。
24	wiley期刊proof问题求助!!!	过年期间接收一篇wiley旗下期刊JofAppliedPolymerScience,在proof期间遇到些问题,希望有大神过来人解答一下。我的在proof的时候,只能更改正文部分,补充材料部分文字和图都有错误的地方想要更改一下,但是我没有找到可以更改的地方(只能从proof网页上面下载原来有错误的PDF),希望有好心的过来人告知一下,万分感谢!!!
25	TIP多久分配AE?	投稿快半个月仍然未分配
26	前几天投了ieee sensors journal,心里还是很忐忑	国庆前投了ieeesensorsjournal,刚投完很高兴,现在又开始忐忑了,不知道能不能中,审稿速度也一般。自己朋友的朋友跟我方向很相近,结果投了Sensors,本来也想投这个,但是奈何导师不愿意投OA,心里有点不平衡,压力大,读博之路不知何时能开始。
27	Plant physiology and biochemistry投稿求助	本人是环境专业的,但是研究方向跟植物生理学相关,投了一篇ppb的小论文,编辑给了改后重投,一个审稿人意见比较正面也很好回复,另一个完全不懂我实验的内容,提了30条意见,要改的话勉强可以改一下,这种情况下修改重投中的机会大吗?第一次碰到改后重投
28	求助一个审稿快的传热杂志	为了毕业希望快点审稿,最好是爱斯维尔的
29	论文Accept发现了一些错误怎么办	论文接受了正在排版突然发现一些问题怎么办呀,会不会因此而被拒稿发现的问题不影响内容和结论,导入了四十多个图,有几个重复导入了,慌得要死,幸运的是正式发表前看出来了,紧张难过的要死希望各位大神支支招,感谢留言,第一次经历这种事,弄得寝食难安,不知道怎么回复的好,又怕辛苦了这么久一切又回到了原点
30	论文接收问题	发邮箱说接受信要在期刊近期举办的会议以后通知到本人。会有变化嘛
31	Materials Horizons 投稿交流	想问下这个期刊initialassessment大概多久哇这个流程走完之后会直接送审吗还是送到下一级的编辑那边谢谢大家!
32	Proof	求教一下大家,在proof的时候,发现好几个原来是斜体的公式,出版编辑都给改成非斜体了,只是改了字体格式,这种会有问题吗?大约改了10个。
33	Micro  Nano Letters   2022年需要收费嘛	MicroNanoLetters这个期刊需要收费不收费收多少啊
34	starch期刊投稿	本人最近投稿一篇starch,一周了都没有分配编辑,一直是notassigned,各位有遇到这种情况的吗?文章会不会被拒啊?
35	请问这是什么意思Permissions request for PHYSSCRXXX,谢谢	请问这是什么意思Permissions request for PHYSSCRXXX,谢谢
36	拒稿	投了两个期刊,都被拒了,我难受
37	希望论文顺利	希望论文顺利
38	模板	求一篇joc投稿的Word文档模板,去官网找了好久没找到,
39	PNAS审稿	小弟最近投了一篇PNAS,5月30号进入underreview阶段,至今无消息。这个周期对PNAS似乎有点长哈。请问是否应该询问一下编辑,如何写?非常感谢!!!
40	word endnote title中上下角标的问题	首先,就不要跟我说word里可以修改上下角标这个事儿了。其次,我的问题是如何通过修改endnote端的标题设置,使文献插入word时,例图中的ag2o的2自动变成下角标,无需手动修改。再次,上下角标的修改方式都需要哈。endnoteX9,word2016例1.png
41	请问中国工程机械学报编辑部的联系电话是多少呀	大神们有中国工程机械学报的联系方式吗,官网是邮箱投稿,投出去3个月了啥消息也没有,合计打电话问问什么情况,项目等着结项呢
42	食品科学杂志	请问有人在食品科学杂志上投过文章吗?下午两点投的,现在看系统说要交300处理费。如果能录用交了也行,不录用交上感觉有点亏。想问问大家,是不是让交的话基本上就没多大问题,就是后期返稿但是修改后也能发表呢?谢谢大家
43	iscience转投求助	求问有从cellrepos外审后拒稿转投到iscience的人嘛...这种情况要不要重新送外审,如果送外审的话还会送原来的审稿人嘛,以及iscience外审大概要多久呢...毕业等文章非常焦虑了...谢谢各位
44	Hindawi onlione proof system	有了解这个期刊杂志的校稿系统的吗?有问题要请教
45	Applied Mathematics(ISSN:21527393)	怎么样 时间 影响因子
46	Ecological Engineering	投EcologicalEngineering这个期刊十天了,状态一直是witheditor,请问这样的状态还得多久啊
47	electric power system research投稿求助	我投了electricpowersystemresearch这个期刊,ei期刊,3月20号投的,也就是到今天正好是一个月了,现在的状态还是underreview,这个审核中是什么意思?是在编辑手里还是审稿人手中呀?这正不正常呀?我该怎么办呀?我第一次投稿,好慌。谢谢各位啦。
48	论文润色	编辑提到有语言问题,导师也不帮忙改,打算找机构润色,请问有哪个润色服务机构好推荐的?
49	文章minor revision三个月后没消息	三月份投稿某数学一区SCI,五月要求小改,编辑回的邮件很乐观,说“Basedontheadvicereceived,Ihavedecidedthatyourmanuscriptcanbeacceptedforpublicationafteryouhavecarriedoutthecorrections.”审稿意见也都是一些语法错误和一些基本参数的推导。五月底投了第二稿,到现在还没消息,是不是应该催一下问问情况?
50	见刊了快一年的SCI,发现专有名词拼写错误(包括标题里)	用到的专有传感器的名字拼错了(错了一个字母),连标题里的都错了!自己一直想当然的音译拼写,错了一个字母,竟一直也没发现。唉,太粗心了,真是深刻教训!这需要联系编辑吗?
51	艾斯维尔出版商能提前看到审稿专家评论吗?	艾斯维尔出版商能提前看到审稿专家评论吗?
52	《中国有色金属学报》中、英文版创刊30周年特刊征稿	《中国有色金属学报》中、英文版创刊于1991年10月,即将迎来30周年刊庆。中国工程院院士、中南大学教授黄伯云主编。为荟萃有色金属以及金属材料相关领域的最新学术研究成果,回馈广大同行对本刊的一贯支持与厚爱,增强创刊30周年庆的学术氛围,编辑部拟定于2021年11月出版“创刊30周年特刊”(2021年11月出版,正刊发表,中、英文版特刊各一期)。现诚邀广大科研工作者贡献高水平的学术文章。征稿范围???铝、镁、钛、铜等先进材料,高温合金,能源材料,生物材料,大型型材加工,深部探矿、采矿,生物冶金、清洁冶金,冶金环境保护,资源高效综合利用征稿文章类型综述论文,研究论文征稿截止时间2021年9月30日...
53	外审专家意见是建议录用,编辑部还会拒稿么	外审专家意见是建议录用,编辑部还会拒稿么
54	Journal of Experimental  Theoretical Aificial Intelligence (JETAI)	投稿到taylorfrancis期刊下的JournalofExperimentalTheoreticalAificialIntelligence(JETAI)期刊,已经进入R3阶段了,现在处于decisionpending状态已经好几天了,什么时候能拿到finaldecsion?
55	请问投MDPI被拒了以后是不是不能再投旗下的其他期刊了?	请问投MDPI被拒了以后是不是不能再投旗下的其他期刊了?
56	请问bone research版面费多少?	虽然期刊被警告了,但还是准备支持一下国刊。请问这个期刊版面费是多少?
57	gaussview画分子结构	用gaussview画的分子结构,也没有计算,就只用那个结构图放到文章里要买版权吗
58	论文有没有被漏检的?怎么处理?	今年投了个期刊materialsresearchexpress,已接受,同期的同卷的文章已经能在webofscience上检索到,且其下一期也能检索到,但是我的论文,还有其他同期的论文有多篇未检索到,我有检索了一下今年一月份的文章,也有大概20篇还未检索,现在这个期刊能检索到的论文有4000多,但这个数据要比他网站上公布的接受的文章要少,大约100多篇,我的疑问是这个期刊是sci的,但不是每篇文章都检索吗?不给检索的依据是什么?应该如何补救?
59	大修后编辑要求小修,但是第二个审稿人还没有回复意见,求指教	求助各位大佬,本人之前投了mdpi旗下的一个期刊,4月中旬收到两个人审稿人的大修意见,五一之前修回了,结果没到3天就收到小修邮件,是编辑要求添加的关于论文中一个对比指标的补充说明,但是我看了一下审稿人意见,第一个审稿人表示满意我的回答,同意接收,但是第二个审稿人还没有对大修后的稿件进行回复,请问这是什么情况?是编辑直接忽略第二个审稿人的意见了吗?还是只是编辑平行地提出了自己的意见,等第二个审稿人意见出来之后再决定?我现在十分担心第二个审稿人的意见不好又让我大修甚至拒了。。。p.s.是学术编辑要求小修,第一次投稿不太明白,想问问学术编辑的地位是啥样的?是只要学术编辑同意就行了吗?谢谢各位已经接收...
60	核农学报录用后多久刊出	杂志社发来定稿邮件,已经修改完一个月没有回复了,不知道什么时候可以刊出呀,求助虫友们。
61	收到编辑这样的邮件是不是就确定录用了?	如图所示,邮件还是8月份发的,我三天改好格式后回复的,但是直到今天还没有下一步消息,期刊是季刊
62	计算机辅助设计与图形学学报退修后复审录用概率大么?	请问计算机辅助设计与图形学学报退修后复审录用概率大么?按照审稿专家意见修改,不知道录用概率大不大?
63	编辑提意见:Please remove the duplicated pages	论文投向了ArabianJournalforScienceandEngineering,最后阶段,编辑提意见说Pleaseremovetheduplicatedpages。但是论文里面没有重复的页码,页码编号也没有重复。求破
64	求助2021年升级版ChemsusChem,International Journal of Hydrogen Energy分区,谢谢	求助2021年升级版ChemsusChem,InternationalJournalofHydrogenEnergy分区,谢谢
65	光谱学与光谱分析	请问有人投稿过光谱学与光谱分析吗,期刊怎么样啊?审稿周期大概多久啊,花费时间长吗?
66	各位前辈,退修后多久能有录用通知	审稿意见是:修改后发表,但是修回已经12天了,杳无音讯,十分焦虑...
67	请问有没有关于非线性动力学之类的中文核心(审稿周期短,易中,最好是扩展的)	振动工程等都投过了,被拒了
68	2021年粤港澳优秀研究生论文大赛征稿通知	2021年粤港澳优秀研究生论文大赛征稿通知粤港澳地区各高校:为了更好地搭建学术交流平台,促进粤港澳地区各高校之间的学术交流,加深硕士研究生与导师对计算机科学与技术及相关学科的科研和应用现状的了解研究,广州计算机学会、广州互联网协会拟开展“第二届粤港澳优秀研究生论文大赛”,旨在表彰先进、推动学术交流与进步,同时促进交流合作、拓宽视野、激发创新灵感。附件:附件1:第二届(2021)粤港澳优秀研究生论文大赛活动方案附件2:第二届(2021)粤港澳优秀研究生论文大赛报名表附件3:第二届(2021)粤港澳优秀研究生论文大赛参评论文要求广州计算机学会2021年9月18日
69	求教:请虫友推荐比较好过的sci三区期刊...化学材料类纳米酶	求教:请虫友推荐比较好过的sci三区期刊...化学材料类纳米酶
70	请问,有投过Food analytical methods 的朋友吗?想请教一下问题!	请问,有投过Foodanalyticalmethods的朋友吗?我投了一篇文章,在editorinvited状态已经两个星期了,这样正常吗??需要写信催一下吗?请大家指教一下,感恩!
71	文章已发表,求合适的撤稿理由	文章因为一些原因需要撤稿,什么理由影响最小啊,谢谢大家
72	《ACS NaNo》是不是只给通讯作者发信息?其他作者收不到任何信息?	导师投稿的《ACSNaNo》,我是一作,但是没有任何信息。登录它们网站也查不到。有没有投稿过这个期刊的朋友?这个期刊是不是只给通讯作者发信息?其他作者收不到任何信息?
73	如何回复英文杂志约稿邮件	不胜感激 英文杂志 朋友
74	关于回复审稿人的response letter	各种大佬,友友们;在回复审稿人的信件中,需要将原评论在letter中全部展示,并逐条回复;一般审稿人都会有一个总述的开头段落,请问这一部分能否在letter中忽略一些不利的部分(在letter中不写)其次,逐条回复审稿人comments的时候,是力求简洁呢,还是要尽可能复述的认真全面(展示自己的用心?)哪种风格更贴近审稿人想法呢?希望大家能讨论一下。感谢感谢哦
75	投稿审稿人同意出版,但是编辑意见较大被拒,可以申请换个编辑再投吗?	送了两个外审专家,其中一个同意接受,另一个意见也比较正面,但最终结果还没出来。但是不知什么情况,编辑认为他提出的问题我没有解决,可是我明明已经在手稿里和交互系统中向他解释说明了,编辑还是认为我没有说,认为我故意不回复他提出的问题,并说出了Iamnothappywiththeserevsions,thisismylastcall.这种话,请问如果外审专家同意出版,但被编辑拒稿后能申请换一个编辑再投同一篇期刊吗?
76	有最近投仪表技术与传感器的吗?	有最近投仪表技术与传感器的吗?,投了两周了,还在初审,这个期刊不是一共一个月的呢,初审大概得花多长时间啊?
77	Awaiting AE Final Processing	论文修改返稿再送审后,状态由AwaitingAEDecision一周后变成AwaitingAEFinalProcessing,速度这么慢,是什么意思?
78	没看到修改痕迹  我人麻了	第六条是复审的意见是我修改的不到位吗
79	JACS小修后要等多久?	JACS小修后要等多久?
80	有虫子投过Microchimica Acta的吗?来交流一下心得	RT老板突然让我投这个期刊想问几个问题:1. 审稿周期大概是多久呢?看有人说很快,但也有人说6个月以上.2. 为啥2015年的IF突然从3.x升高到了4.8x呢?
81	假如投angew或者是AM被拒后,哪个期刊可以转投AFM?	目前文章的档次大约在AFM左右,老板想冲一下AM或是angew,具体投哪个让我自己选,和我课题合作的老师,第二通讯,是一年能发67篇的组,他建议我投AFM。但是奈何我老板想冲一下AM或是angew,所以特来求助这俩被拒后哪个还可以投AFM的。
82	投稿邮件确认	求问各位,我第一次发文章通讯作者投SensorsActuators,B:Chemical,然后收到邮件通知,有下面的链接,我点进去需要登录账号,请问各位,我是要注册账号登录进去吗?Elsevierasksallauthorstoverifytheircoauthorshipbyconfirmingagreementtopublishthisaicleifitisacceptedforpublication.Pleasereadthefollowingstatementandconfirmyouragreementbyclickingonthislink:'...
83	求求prb早点接收	已经三审意见回过去了求求了快点接收吧
84	Chem Rev porposal 接收,正文接收概率多大呢	老板之前中过两次ChemRev.投proposal之前给编辑发过正文内容,编辑没有回复。于是提交了proposal,只有一个审稿人并提了非常积极的意见,其余审稿人都overdue了。编辑说他自己做了文献调研并结合此唯一审稿人的意见,同意了proposal。我心里还是有点紧张,不知道一般chemrev的接收概率有多大。
85	咨询投稿进度的频率多久一次?	投稿的期刊,实在是急用,已经两个月了,一个月前咨询过进度,说送外审中,一周前又咨询一次,还是外审中,期刊审稿的周期是三个月,我本想这周再问一次,但是同学让我不要问那么频繁,说编辑烦了直接给拒了!因为这个期刊超过三个月没有回复录用修改就自行处理(拒稿)!我还能否能再咨询几次?每天都是焦急等待!
86	关于MDPI润色服务	请问一下大家有人使用过MDPI的润色服务吗?几天可以返回润色稿件?(大修时间比较紧,其中有一个审稿人对语言意见很大)
87	研究生期间写的论文,毕业后发表要注意什么?	研究生期间导师给了个题目,做出来一篇论文,投2区期刊没中,一直修改,直到毕业也没发出来,导师也没再管了,毕业论文做的相关方向,但是内容上没有重合,请问,现在工作了拿出来当年的小论文,还能投个一般的英文期刊吗?需要带导师吗?涉及到学术规范吗?
88	ISSCC新用户如何注册投稿?	如图,ISSCC官网,提交论文的网址不允许新用户注册是怎么回事?
89	期刊	植物代谢产物分离提取方向,已分到21个化合物,包括5个结构新颖(原有结构骨架取代基不同)和3个结构修正。活性在10微摩尔左右,请问投什么期刊合适?植物疗法?植物化学能够的着吗?
90	文章现在在副主编手里,发现文章有错误怎么办	因为不想被说成创新性不足就写了很多结论,最起码有三个不同方面的结论。现在文章在副主编手里三天了,忽然发现部分描述有问题。如果更改的话感觉能力不足,可能从一个错误描述转变成另一个错误描述,感觉无奈。这种情况是等待文章被拒稿修改后投另一个期刊还是联系编辑想办法更正错误呢?
91	求一个mestrenova mac的安装包	求一个mestrenovamac系统的安装包,谢谢谢谢谢谢大家了...
92	投稿后一审被拒,但是感觉审稿人的意见好像他并没有搞明白我们的意思,能否申诉一下?	最近投了一篇文章,2区的,成功送审了,一个审稿人倒是很快就给我拒了,但是看到审稿人的拒稿评审意见后感觉审稿人并没有搞明白我们想要表达的意思,就这样改投感觉很憋屈啊,能否申诉一下呢?请教一下各位前辈,是直接给编辑发送邮件附上回答的问题和修改后的原稿,还是在系统中重投但在coverletter中标注一下呢?求各位前辈支个招啊,就这样认命感觉很憋屈埃
93	二审返稿	最近把一篇国际SCI的二审修改后的文章提交了,当时二审给的修改意见很少,转天状态变为witheditor,然后到现在已经过去十多天了状态还是一直没变。请问大家需要催一下吗?
94	从评审到 评审已审回 只隔了一个小时	这是要被退稿了吗....交完稿费,状态一直停在已发回执,隔了一周才变成评审接着隔了一小时又变成已审回是不是被退稿的概率大一些...怎么会审的这么快
95	环境科学期刊需要审稿费吗?	环境科学期刊需要审稿费吗?
96	有投Solar rrl的同学吗,一周多了还在Under consideration	这个杂志只有这一个状态吗之前投了3篇,都是第二天秒拒,这次效率这么低了
97	没看懂审稿意见,怎么回复	求助,我是做深度学习方向的,审稿人提了一个这样的问题Pleaseaddmoredetailonthespecificnetworklimitations.Whatyouhavepresentedinthepaperusrathergeneral.我不是很明白审稿人想要我添加什么方面的细节?是指网络结构方面吗,但是我文中有写,他的limitation是什么意思?
98	Kbs投稿	Kbs投稿,听说审稿意见只要有大修就会被拒嘛,连着被拒两次,害怕了已经
99	Russian journal of physics chemistry A	想问下这个期刊投稿是邮箱投稿还是邮箱啊,看官网直接有通道,但我文件一直提交不成功。看其他人有说邮箱投的
100	书籍	书籍
101	投稿中国食品学报	各位朋友,有没有投过中国食品学报的呀,我是在官网上投的,然后给我发了邮件给了稿件编号,然后去官网查就一直是收到新稿的状态,这个是就一直等着吗?
102	机器人领域开源期刊	机器人领域开源期刊推荐
103	关于Offprints Order的订单编号的问题	各位前辈,我想请教关于出版协议签订里面的“OffprintsOrder”的问题。就是我在填这项内容的时候选择的是“0”,但是还是在对方发来的邮件里出现有订单编号,这个订单编号是什么意思呀?后续会要收我们这边的费用吗?而且邮件还附带了一份PDF文件(下图中)。
104	编辑回复意见	ThesecommentssuggestthatthepresentversionofthemanuscriptisnotsuitableforpublicationinthePhysicalReview.However,ifyoucanprovideaconvincingresponsetothecriticism,wewillgivefuherconsideration.Pleaseaccompanyanyresubmittalbyasummaryofthechangesmadeandabriefresponsetoallrecommendationsandcriticisms.这种情...
105	JXB 投稿一周,显示Under Editorial Review	JXB审稿流程变了吗?投稿后第三天变为UnderEditorialReview,是不送外审了吗?
106	投SCI 强制要求推荐审稿人怎么选?	是不是选外国人好一些,哪国的好点?选中国人有没有坑?国内的专家属于知道但不太熟悉。国外的专家除了大牛也不太认识。选不在审稿人列表里的人行不行?
107	有什么建议嘛,友友们	虫友友,我想发表一篇关于LabVIEW温湿度测量的普刊论文,可以选择哪些期刊发表呢
108	sci重复率一般控制在多少	一般期刊30%以内?
109	Bentham Science杂志社下的Current Cancer Drug Targets杂志	BenthamScience杂志社下的CurrentCancerDrugTargets杂志投稿了一篇综述,经过审稿,一审修回后接到邮件说“.hasbeenprovisionallyapprovedforpublicationin&quot;CurrentCancerDrugTargets&quot;journal.”系统中状态是“FinalVerificationofContent”,已经持续一个月了。我接到邮件后,就一直没有做任何操作,请问这个状态下,我需要做什么吗?还是一直等?一般会持续多久才能正式接收?
110	投专利,专利公司事务所说我的新颖度不够怎么办?	投专利,专利公司事务所说我的新颖度不够怎么办?但是,做化学合成的,合成方法、改性手段一共就那么多,很难再找到别的突破点,这个怎么办?
111	Under Consideration一个月后日期变化是啥意思	JOURNALOFMATERIALSSCIENCE,求助,谢谢大家比较心着急毕业
112	投稿求助!	请问一下有朋友知道《食用菌学报》官网为什么打不开吗?如何向食用菌学报投稿呢?
113	咨询elsevier 旗下期刊的一个投稿问题	投稿后CoAuthors邮箱收到一封邮件,点击他给的链接,需要先注册,向各位投稿的朋友们咨询一下这个所有的CoAuthors是否必须要确认?谢谢0ElsevierasksCoAuthorstoconfirmtheirconsenttobelistedasCoAuthorandtrackthepapersstatus.Inordeoconfirmyourconnectiontothissubmission,pleaseclickheretoconfirmyourcoauthorship”
114	TCSVT Awating recommendation变成In Peer Review	第一轮3的结果是拒稿重投3个审稿人前两个没有啥意见第三个意见比较多我回大概20多页第三个审稿人需要的实验都补齐了前天变成的Awatingrecommendation今天又变成InPeerReview了
115	审稿意见%ATTACH_FOR_REVIEWER_DEEP_LINK_INSTRUCTIONS%	审稿意见里有一行这个,%ATTACH_FOR_REVIEWER_DEEP_LINK_INSTRUCTIONS%,但是打不开。请问有人遇见过同样的情况吗,这个里面是有内容的吗。
116	transfer一定会送审吗?	transfer一个月了还在编辑手里,请问一定会送审吗?还是有可能被直接拒掉
117	有没有虫友发表过INTERACTIVE LEARNING ENVIRONMENTS的文章?	求投稿经验分享。感激不荆
118	这种情况是否应该继续投稿	期刊是internationaljournalofmechanicalscience初审编辑拒稿ThesubmissionwouldbewelcomebutitisyettoreachtheIJMSqualitybarintermsofthedepthoftheanalysisandpresentation,howeverifyouimproveIwouldbepleasedtoreceivearesubmission.Icanprovidesomecommentsonrequest.这里编辑说可以给重投的意见,是否应该等待编辑的意见修改重投?又或是模板拒稿。
119	求护理类杂志编辑	评职称需要护理类中国科技核心论文为啥这么难发表有没有小伙伴有捷径doge
120	投稿被拒再投,求助	之前投appliedenergy的稿件被拒,编辑回复“Pleasenotethatwedoallowauthorstoresubmitarevisionofapreviouslyrejectedpaper.Providedasignificantrevisionhasbeenmadewithallresponsesintheformatofpointtopointincludedinthecoverletter,wemightorganizeanewreviewofthepaperasa&quot;new&quot;paper.”请问是可以修改完再投吗?如果再投的话,是按一篇新的文章投稿,...
121	求助,审稿人提的问题看不懂,	TheIUPACdefinitionforalimitofdetection(3.29sB/k)shouldbeusedtakingaccounttherecommendationsfromtheOrangeBookinTheAnalyticalDivision(webpage).
122	industrial crops and products 投稿witheditor多久进入审稿哈	有没有近期投稿或者近期中的小伙伴分享一下经验哈,我是7.12号submittedtothejournal,13号witheditor至今。邮件有收到一个编辑处理,然后又转分给另外一个编辑处理。谢谢大家
123	文章大修	求助各位,两个审稿人,一个建议拒绝,一个建议修改,编辑建议大修,给了大约50天的修稿时间。建议修改的意见已认真回复,但是建议拒绝的意见目前很难做出那么多实验数据,求助各位这种情况怎么操作才有自救的机会呢?谢谢大家!
124	有人投过真空科学与技术学报吗	专家审核40天了,一点消息都没有,你们遇到过这样的情况吗
125	药剂菜鸡的第一次药学杂志投稿	请问有人投过currentdrugdelivery这个期刊吗,我第一次投稿怎么也登录不进投稿网址,显示signinrestricted,有人知道怎么回事吗,非常感谢
126	最近有投稿automatica的么	我投稿到SubmitaNewPaper●Previouslypresented●Previouslysubmitted这一步,就进行不下去了,点击next没有反应。请问这是怎么回事。最近两天有投这个系统的么,你们出现这种情况么。是我网的原因么还是咋回事埃求助
127	RSC的期刊一般速度是怎样的?	3.13Submit3.14initialassessment3.19上午witheditor3.19下午inpeerreview感觉太快了,是不是要拒稿了
128	电力系统保护与控制投稿	12月30号投稿,1月19号退修通知下来,状态显示修改后再审,我这种情况是经过外审专家吗,怎么那么快,一个月都不到,这个期刊稿件要经过几个审稿专家?有没有知道的朋友解答一下
129	mdpi旗下的sustainability审稿意见回来了,大修,10天	学术编辑提了一个比较外行的小问题+引言补充。审稿人1:must3个审稿人2:must1,can1.审稿人3:must1,can1.请问录用概率大吗?18/92019submit12/112019major19/112019resubmit祝我好运吧!
130	TAG手稿格式要求	TAG手稿格式要求
131	(热加工工艺)投稿	有没有人知道热加工工艺这个期刊,工学类的文章字数要求和查重率是多少呀
132	prb三审状态求助	prb三审意见在编辑那边三天了,之前一审二审当天送给审稿人,想问一下编辑是打算自己决定嘛
133	biotechnology letters 的手稿格式	请问哪位大佬投过biotechnologyletters期刊啊,这个期刊的word手稿格式到底是什么样的啊啊啊,一直没搞明白!!!还有投稿需要的author\'sQuistchecklist的格式是什么样的!!!有没有大佬指点迷津!!!
134	science of the total environment投稿求助	图表总数>8个怎么办啊,不好删,第一次投求大佬回复。。。
